what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372283783528
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372283785754
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1372283787245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372283787686
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372283788688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1372283790482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372283791323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283798698
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1372283798741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283820763
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372283831183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283845529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283849349
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1372283849456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283877770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283900956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283928817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283944975
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1372283945072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283963604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372283983330
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372283983594
