what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374704213239
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1374704213240
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374704217317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374704219414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374704240477
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1374704240566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374704347583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374704376847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374704381576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374704383510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374704427258
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374704428227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374704451802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374704477087
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1374704477715
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1374704477747
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1374704477792
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1374704477965
started,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1374704478341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374704489349
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374704531590
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374704551026
