what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372278813677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372278888925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1372278888965
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372278914801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372278919961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1372278920001
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372278934478
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372278941076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372278950354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372278952148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372278957868
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372278959061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1372278961441
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1372278964433
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372278966425
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372278990873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372279048589
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1372279120274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372279130621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372279132443
