what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1373131585577
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1373131585590
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1373131585592
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1373131585594
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1373131585599
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1373131585600
os,sysinfo,,,"macosx",1373131585609
arch,sysinfo,,,"x86_64",1373131585609
ws,sysinfo,,,"cocoa",1373131585609
locale,sysinfo,,,"en_US",1373131585609
processors,sysinfo,,,"4",1373131585609
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1373131585609
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1373131585609
java.specification.name,sysinfo,,,"Java Platform API Specification",1373131585609
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1373131585609
java.specification.version,sysinfo,,,"1.6",1373131585609
java.vendor,sysinfo,,,"Apple Inc.",1373131585609
java.version,sysinfo,,,"1.6.0_33",1373131585609
java.vm.info,sysinfo,,,"mixed mode",1373131585609
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1373131585609
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1373131585609
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1373131585609
java.vm.specification.version,sysinfo,,,"1.0",1373131585609
java.vm.vendor,sysinfo,,,"Apple Inc.",1373131585609
java.vm.version,sysinfo,,,"20.8-b03-424",1373131585609
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1373131585666
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1373131588792
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1373131592749
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1373131602044
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1373131602057
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1373131602145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373304481264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373304481329
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1373304481486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373304482200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373312571514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373312721011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373314507004
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315166235
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315212267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315257734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315519397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315745367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315750912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315756694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315791647
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1373315845686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373315856197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373316386461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373316450181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373316771127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373316771657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373316774669
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1373316786431
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1373316786438
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1373316786459
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1373316786565
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1373316786606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373316791261
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373316793779
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373316793995
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373316794074
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1373316794093
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373316818443
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373316818445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373316820788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373321096798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373321097749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373325042564
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373325044020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373325044065
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373325044782
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373325044843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373325049049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373325051877
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373325051975
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373325052030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373329515295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373332615868
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373332620943
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373332620984
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1373333196308
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333196338
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333196338
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333252688
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333252726
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333256468
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333256505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373333265838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373333311531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373333314917
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373333318320
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333319924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373333323968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373333334442
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333334571
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373333334601
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1373333334611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373333610221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373333612856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373349896351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373349898197
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373349898573
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1373349899232
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1373349899529
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1373349899532
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1373349899534
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1373349899536
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1373349899539
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1373349899541
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1373349899544
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1373349899545
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1373349899547
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1373349899549
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1373349899552
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1373349899554
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.402.v201201250306,"org.eclipse.jst.ws.consumption.ui",1373349899558
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.603.v201202012024,"org.eclipse.jst.ws.consumption",1373349899562
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1373349899564
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1373349899566
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1373349899568
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1373349899570
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1373349899572
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1373349899574
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1373349899575
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1373349899581
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1373349899585
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1373349899588
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1373349899591
