what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374710056104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1374710056139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374710067133
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1374710088959
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1374710100376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1374710110923
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374710112325
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374710185290
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1374710187226
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1374710187276
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1374710190376
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1374710190736
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1374710190739
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1374710190766
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1374710190768
error,log,,,"Core exception while retrieving the content description",1374710190791
error,log,,,"Core exception while retrieving the content description",1374710190792
error,log,,,"Core exception while retrieving the content description",1374710190793
error,log,,,"Core exception while retrieving the content description",1374710190794
error,log,,,"Core exception while retrieving the content description",1374710190794
error,log,,,"Core exception while retrieving the content description",1374710190796
error,log,,,"Core exception while retrieving the content description",1374710190797
