what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650421198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650495121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650541972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650563374
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1373650563444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650566602
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650568509
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650614893
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650626739
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650629552
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650634331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650684646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650691683
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1373650691921
error,log,,,"Could not schedule source download",1373650691966
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1373650691972
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1373650691989
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650694303
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1373650694303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650695664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650707877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650707970
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1373650707986
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650737240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650741497
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650741583
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1373650741590
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650831367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650840823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650847083
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650847222
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650847249
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1373650847257
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650899281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1373650902827
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1373650902938
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1373650902947
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1373650996972
