what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377813740195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377813799473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377813830494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377813836515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377813846663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377813880454
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377813891084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377813918997
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377813934053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377813951131
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377813974648
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377813979208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377813987584
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814001489
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814005152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377814035802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814042056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814045333
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814125863
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814127211
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814153370
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814212433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814340868
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1377814344087
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1377814344123
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814346206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814347153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814348865
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1377814348917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814350515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1377814350548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814379103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814384570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814386403
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814386529
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814386558
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1377814386558
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1377814416373
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377814417573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814425872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814622778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814624352
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814941960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814942118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814944823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814952069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814983900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377814984663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815388258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815391143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815394686
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377815394942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815398935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815400352
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377815400606
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815403479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1377815403516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815407180
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377815408232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815442768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815444730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815444832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815446217
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377815446417
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1377815446421
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1377815453302
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377815455133
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377815455135
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377815456551
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1377815456551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377815460517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377817507334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377817513047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377817525453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377817525582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377817527363
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1377817527912
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1377817528648
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1377817528962
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1377817528964
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1377817528966
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1377817528972
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1377817528974
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1377817528976
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1377817528978
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1377817528980
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1377817528982
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1377817528984
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1377817528986
